UBIGEO,NAME_CLEAN
000001,CODO DEL POZUZO
000001,TOURNAVISTA
000001,ALEXANDER VON HUMBOLDT
000001,IRAZOLA
000001,NESHUYA
000001,PADRE ABAD
000001,CURIMANA
000001,PUERTO INCA
000001,NUEVA REQUENA
000001,CAMPOVERDE
000001,CONTAMANA
000001,HUANCHACO
000001,SANTIAGO DE CAO
000001,SIMBAL
000001,MAGDALENA DE CAO
000001,CHOCOPE
000001,PAIJAN
000001,SINSICAP
000001,CHICAMA
000001,RAZURI
000001,MARMOT
000001,ASCOPE
000001,CASCAS
000001,CASA GRANDE
000001,SAN BENITO
000001,SAN PEDRO DE LLOC
000001,CUPISNIQUE
000001,CORONEL GREGORIO ALBARRACIN LANCHIPA
000001,POCOLLAY
000001,CALANA
000001,TACNA
000001,SAMA
000001,CIUDAD NUEVA
000001,ITE
000001,ILO
000001,ALTO DE LA ALIANZA
000001,PACHIA
000001,ESTIQUE-PAMPA
000001,ESTIQUE
000001,TARUCACHI
000001,INCLAN
000001,LOCUMBA
000001,EL ALGARROBAL
000001,PALCA
000001,HEROES ALBARRACIN
000001,CURIBAYA
000001,SITAJARA
000001,QUILAHUANI
000001,PACOCHA
000001,TARATA
000001,HUANUARA
000001,TICACO
000001,ILABAYA
000001,SAMEGUA
000001,PUNTA DE BOMBON
000001,CAIRANI
000001,SUSAPAYA
000001,DEAN VALDIVIA
000001,CAMILACA
000001,MEJIA
000001,CAPAZO
000001,CANDARAVE
000001,ISLAY
000001,TORATA
000001,MOQUEGUA
000001,CUCHUMBAYA
000001,PISACOMA
000001,COCACHACRA
000001,MOLLENDO
000001,LA CAPILLA
000001,CAMANA
000001,QUINISTAQUILLAS
000001,JOSE MARIA QUIMPER
000001,KELLUYO
000001,SAN CRISTOBAL
000001,DESAGUADERO
000001,SAMUEL PASTOR
000001,QUEQUENA
000001,OMATE
000001,SANTA ROSA
000001,YARABAMBA
000001,POLOBAYA
000001,MOLLEBAYA
000001,CARUMAS
000001,PUQUINA
000001,QUILCA
000001,COALAQUE
000001,HUACULLANI
000001,SOCABAYA
000001,POCSI
000001,JACOBO HUNTER
000001,SABANDIA
000001,CONDURIRI
000001,JOSE LUIS BUSTAMANTE Y RIVERO
000001,TIABAYA
000001,SACHACA
000001,CHARACATO
000001,LA JOYA
000001,PAUCARPATA
000001,SANTA RITA DE SIGUAS
000001,AREQUIPA
000001,MATALAQUE
000001,YANAHUARA
000001,UCHUMAYO
000001,NICOLAS DE PIEROLA
000001,ZEPITA
000001,SAN JUAN DE SIGUAS
000001,COPANI
000001,MARIANO MELGAR
000001,CHOJATA
000001,MARISCAL CACERES
000001,MIRAFLORES
000001,CHIGUATA
000001,ALTO SELVA ALEGRE
000001,CUTURAPI
000001,POMATA
000001,ANAPIA
000001,LLOQUE
000001,UNICACHI
000001,YUNGUYO
000001,OLLARAYA
000001,CERRO COLORADO
000001,TINICACHI
000001,JULI
000001,CAYMA
