UBIGEO,NAME_CLEAN,YEAR,count,mean,min,max,std,p10,p90,pct_below_0C
000000,CODO DEL POZUZO,2022,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000001,TOURNAVISTA,2022,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000002,ALEXANDER VON HUMBOLDT,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000003,IRAZOLA,2022,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000004,NESHUYA,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000005,PADRE ABAD,2022,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000006,CURIMANA,2022,15,1.4572250843048096,0.0,21.858375549316406,5.452436447143555,0.0,0.0,0.9333333333333333
000007,PUERTO INCA,2022,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000008,NUEVA REQUENA,2022,17,5.216573238372803,0.0,22.198400497436523,9.404315948486328,0.0,22.169584274291992,0.7647058823529411
000009,CAMPOVERDE,2022,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000010,CONTAMANA,2022,31,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000011,HUANCHACO,2022,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000012,SANTIAGO DE CAO,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000013,SIMBAL,2022,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000014,MAGDALENA DE CAO,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000015,CHOCOPE,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000016,PAIJAN,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000017,SINSICAP,2022,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000018,CHICAMA,2022,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000019,RAZURI,2022,5,3.5651097297668457,0.0,17.82554817199707,7.130219459533691,0.0,10.695327758789062,0.8
000020,MARMOT,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000021,ASCOPE,2022,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000022,CASCAS,2022,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000023,CASA GRANDE,2022,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000024,SAN BENITO,2022,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
